127	201	олень	enc'er	enc'ert
128	186	коза	eža	ežme
129	189	козленок до года	gežba	gužbe
130	197	курица	ʡaˤrʡʷa	ʡaˤrʡʷne
132	208	заяц	ʡoˤri, ʡari	ʡoˤrme, ʡarme
133	214	еж	ʡuˁžruq'	ʡuˁžruq'une
134	207	лиса	gurda	gurdne
135	180	кобыла	gʷaza	gʷazne
136	194	сука	gʷaža	gʷažne
137	184	мул	hamħaluq	hamħaluqune
138	156	пастух скота	ħanq'akan	ħanq'akule
139	149	человек	insan	insant
140	157	пастух табуна	irqiči	irqičunt, irqičune
141	178	конь	jaˤbu	jaˤbne
142	173	бычок до года (не костр.)	k'umeš	k'umše
143	195	щенок	kac'a	kac'ne
144	166	баран взрослый	kʷiha	kʷihme
146	206	волк	malʡuˤn	malʡuˤnt
147	161	Овца	maza	maza
148	168	ягненок до одного года (а. до нескольких месяцев; б. от нескольких месяцев до года)	muq'ara	muq're
149	187	козел	q'aˁca	q'aˁcme
150	171	корова	q'ʷaˁl	q'ʷaˁle
152	165	овца взрослая, овцематка	qʷat'i	qʷat'ne
153	202	кабан	ʁaban	ʁabant
154	176	теленок до одного года	ʁača	ʁačne
155	152	засватанная	r=igul	r=igult
156	203	медведь	sinka	sinkbe
157	175	телка (от 1 года до 3 лет)	t'uʜangari	t'oʜangurbe, t'uʜangurbe
158	181	жеребенок	taˤj	toˤjre
159	211	горностай	tarʔ	tarʔane
160	151	невеста	ukduri	ukdurme
161	174	вол (кострированный)	unc	unce
162	179	конь	urči	určne?
163	142	сын, мальчик	urši	uršbe
164	213	мышь	waca	wacne
166	212	куница	χːaˁrc'	χːaˁrc'ane, χːaˁrc'nube
167	148	много народу	χalq'	χalq'ane
168	150	женщина (а. = ; б. жена)	xunul	xuhe
170	147	народ	žamaˤt	
171	205	волк	žanawar	žanawart
172	190	козленок 1-3 лет	žum	žumane
173	196	кошка (а. = ; б. кот)	gatu	gatne
175	229	гнездо	buruš	buršme
176	216	птица	čeqʷaˤ	čeqʷne
177	235	червь (а. дождевой)	čʼičʼa	čʼičʼne
178	234	змея	gan	gune
179	222	кукушка	gegu	gegʷne, gugbe
182	233	лягушка	ʡaˤt'a	ʡaˤt'ne
183	231	рыба	k'as	k'usre
184	225	голубь	lahʷi	lahʷne
185	217	орел	lap'lap'	lap'lap'une
186	220	ворона	ʁʷana	ʁʷanube
187	224	куропатка	ʁaʁbi	ʁuʁbe
188	232	ящерица	šuršut'ani	šuršut'une
189	223	птица хищная ночная (сова, филин)	t'umi	t'umne
190	226	ласточка	určut'i	určut'une
191	311	абрикос	aχbazan	aχbazan(t)
192	324	лук	bukani šerši	bukani šeršnube
193	325	чеснок	buq'ani šerši	buq'ani šeršnube
194	58	кусок (напр. мяса)	but'a	but'a
195	256	стрекоза	c'erc'	c'urc'be
196	251	блоха	c'ihʷa	c'ihʷne
197	300	камыш	č'aˤʡaˤ	č'aˤʡobe, č'aˤʡaˤ, č'aˤʡuˤbe
198	329	свекла	č'ak'u, č'ak'ultan	č'ak'ne, č'ak'ultune
199	255	жук	čʼičʼa	čʼičʼne
200	263	лес	duz	duzunt, duzume
201	297	тмин	anci	anci
202	268	кожа, кора, кожура, скорлупа	ʡaˤnk'a (человек, яйцо, кортошки), k'eχ (скотины)	ʡaˤnk'be
203	301	сорняк (стебли, мешают косить)	ʡaˤrʡaˤ	ʡaˤrʡnube (ʡarʡ-nube)
204	332	мелкий горох	gingi	gingnube
205	271	пень для рубки дров	guder	gudert
206	315	ягоды	gurc'u	
207	326	фасоль	gurži qara	gurži qarube, qara
208	299	лопух, растение с крупными листьями (а. его корень)	ħaq'u'r	ħaq'urt
209	307	яблоко	inc	incbe
210	302	сорняк на поле	irc'ala	irc'alt
211	267	лист	k'ap'i	k'ap're
212	328	картошка	kartuška, kaltuška	kartuškune, kartuška, kaltuškune
214	310	абрикос	kʷaraga	kʷaragume, kʷaraga
215	309	персик	kʷarč	kurčbe
216	265	куст (травы)	kʷarča, kʷabča	kʷarčne
217	269	корень	maˤq'ʷ	maˤq'ʷe
218	242	пчела (а. шмель)	mirqi	mirqe, mirqne
219	294	сено	mura	murube
220	327	морковь	nabadur	nabadurt, nabadure
221	252	вошь	nerʔ	nurʔbe
222	303	крапива	niz	nizbe
