транскрипция;орфография;часть речи;английский перевод;русский перевод
k'ilik';кIиликI;n;ear-ring;серьга
NOM.PL: k'ilk'me;NOM.PL: кIилкIме;;;
k'?ama;кIвама;n;butter;сливочное масло
NOM.PL: k'?amne;NOM.PL: кIвамне;;;
kule?a;кулеха;n;bracelet;браслет
NOM.PL: kul?me;NOM.PL: кулхме;;;
k?art'a;квартIа;n;hammer;молоток
NOM.PL: k?art'ne;NOM.PL: квартIне;;;
la?lu;лагIлу;n;jewel in the ring;камень в кольце
NOM.PL: la?lumme;NOM.PL: лагIлумме;;;
lugi;луги;n;ear;колос
NOM.PL: luge;NOM.PL: луге;;;
muqi;мухъи;n;rye;рожь
NOM.PL: muqurbe;NOM.PL: мухъурбе;;;
neg?;негв;n;straw reduced to fragments;солома измельченная
NOM.PL: neg?ane;NOM.PL: негване;;;
ne?;нехI;n;buttermilk;сыворотка
NOM.PL: nu?ane, ne?ane;NOM.PL: нухIане, нехIане;;;
ner?;нерх;n;butter, oil;масло
NOM.PL: nur?be;NOM.PL: нурхбе;;;
ni?;ниъ;n;milk;молоко
NOM.PL: ni?ane;NOM.PL: ниъане;;;
niqa?;нихъя;n;oats;овес
NOM.PL: niqo?rbe;NOM.PL: нихъoIрбе;;;
q'a?pa;къяпа;n;cap;шапка
NOM.PL: q'a?pne;NOM.PL: къяпне;;;
q'ula;къула;n;well;колодец
NOM.PL: q'ulme;NOM.PL: къулме;;;
q'?a?ri;къвяри;n;knitted sock;носок вязаный
NOM.PL: q'?a?rme;NOM.PL: къвярме;;;
q'?e;къве;n;broiled grяn;жаренное зерно
NOM.PL: q'?eme;NOM.PL: къвеме;;;
q'?e;къве;n;grяn;зерно (собирательное)
NOM.PL: q'?eme;NOM.PL: къвеме;;;
qar;хъар;n;sheepskin coat;тулуп, шуба
NOM.PL: qarane;NOM.PL: хъаране;;;
qinc'ir;хъинцIир;n;hoe;мотыга, тяпка
NOM.PL: qinc'irt;NOM.PL: хъинцIирт;;;
q?at'ka;хъватIка;n;gauntlet;рукавица
NOM.PL: q?atk?ne;NOM.PL: хъватквне;;;
rastis;растис;n;saw;пила
NOM.PL: rastisune;NOM.PL: растисуне;;;
?'inik?;чIиникв;n;man's brяd;мужская коса
NOM.PL: ?'inikune, ?'inkbe;NOM.PL: чIиникуне, чIинкбе;;;
sapa?ki;сапашки;n;boot;сапог
Pluralia Tantum;Pluralia Tantum;;;
selisani;селисани;n;roll with gut fat;рулет на нутряном жире
NOM.PL: selisune, selisunt;NOM.PL: селисуне, селисунт;;;
t'uleka;тIулека;n;ring;кольцо
NOM.PL: t'ulkme;NOM.PL: тIулкме;;;
t'ult';тIултI;n;bread, flatbread;хлеб (лепешка)
NOM.PL: t'ult'e;NOM.PL: тIултIе;;;
warhi;варгьи;n;felt cloak, felt;бурка, войлок
NOM.PL: warhne;NOM.PL: варгьне;;;
war?a;варъа;n;honey;мед
NOM.PL: war?ne;NOM.PL: варъне;;;
wa??ag;вахчаг;n;trousers;штаны
NOM.PL: wa??agune;NOM.PL: вахчагуне;;;
?in?';хинчI;n;khinkal;хинкал
NOM.PL: ?in?'e;NOM.PL: хинчIе;;;
ze;зе;n;solt;соль
NOM.PL: zeme;NOM.PL: земе;;;
?igari;жигари;n;egg;яйцо
NOM.PL: ?igre;NOM.PL: жигре;;;
?a??ul;гIяхул;n;guest;гость, гостья
NOM.PL: ?a??le;NOM.PL: гIяхле;;;
qa??a;хъяша;n;badger;барсук
NOM.PL: qa??me;NOM.PL: хъяшме;;;
k?a?k?a?m, k(?)o?k(?)o?m;квяквям, к(в)оIк(в)оIм;n;plum;слива
NOM.PL: k?a?k?a?mt, k(?)o?k(?)o?mt;NOM.PL: квяквямт, к(в)oIк(в)oIмт;;;
?a?nuk';гIянукI;n;eagle;орел
NOM.PL: ?a?nuk'une;NOM.PL: гIянукIуне;;;
u?a?;угIя;n;cheese;сыр
NOM.PL: ?a??ne, ?o?ne, u?ne;NOM.PL: гIягIне, гIoгIне, угIне;;;
;;;;
kura, k'at'a;кура, кIатIа;n;spade, showel;лопата (деревянная, железная)
NOM.PL: kurmi, k'at'ube;NOM.PL: курми, кIатIубе;;;
g?e, i?ani;гве, игIани;n;tendon;жила
NOM.PL: g?eme, i?o?nt;NOM.PL: гвеме, игIoIнт;;;
ur?a?diq'ani;ургъядикъани;n;fat tяl;курдюк
NOM.PL: ur?a?diq'unt;NOM.PL: ургъядикъунт;;;
?ali;шали;n;side;бок
NOM.PL: ?ulme;NOM.PL: шулме;;;
aor: de?ib;aor: деъиб;v;be enough;достаточным быть
hab: bi?an, di?an;hab: биъан, диъан;;;
inf pfv: we?es;inf pvf: веъес;;;
aor: ber?ub, der?ub;aor: беръуб, деръуб;v;become dry;высохнуть, сохнуть
hab: bur?an, dur?an;hab: буръан, дуръан;;;
inf pfv: ber??es;inf pvf: беръвес;;;
aor: mi? aw?ur, mi? a?ur;aor: миъ авъур, миъ аъур;v;become frozen;замерзнуть, стать льдом
hab: mi ir?wan;hab: ми иръван;;;
inf pfv: aw?es;inf pvf: авъес;;;
aor: wel?un, del?un;aor: велгъун, делгъун;v;become full;насытиться
hab: ul?an, dul?an;hab: улгъан, дулгъан;;;
inf pfv: wel?es;inf pvf: велгъес;;;
aor: digub, bigub;aor: дигуб, бигуб;v;burn;гореть, жечь
ipf: ig?ib;ipf: игвиб;;;
inf pfv: dig?es;inf pvf: дигвес;;;
aor: wa?ba?tur, wa?b?aba?tur;aor: вябятур, вябхIабятур;v;call;звонить, звать
hab: wa?baltan;hab: вябалтан;;;
aor: (?)a??wa?qib, (?)a??da?qib, (?)a???a?qib, (?)a???a?da?qib;aor: (ъ)яшвяхъиб, (ъ)яшдяхъиб, (ъ)яшхIяхъиб, (ъ)яшхIядяхъиб;v;come back;вернуться
hab: a??dirqa?n, a??wirqa?n;hab: яшдирхъян, яшвирхъян;;;
aor: ber?ub, der?ub;aor: бергъуб, дергъуб;v;dig;копать
ipf: i??ib;ipf: игъвиб;;;
inf pfv: der??es;inf pvf: дергъвес;;;
aor: baj?aqib, baj??aqib;aor: байъахъиб, байъхIахъиб;v;divide;делить
inf pfv: baj?aqas, daj?aqas;inf pvf: байъахъас, дайъахъас;;;
aor: baq?ib, daq?ib;aor: бакъиб, дакъиб;v;do;сделать
hab: biq?an, diq?an;hab: бикъан, дикъан;;;
inf pfv: baq?as;inf pvf: бакъас;;;
aor: dit'un;aor: дитIун;v;draw;рисовать
inf: darxa?as;inf: дархьаъас;v;drive away;гнать
aor: a?ib;aor: аъиб;v;drive into;загнать в помещение птиц или телят
ipf: i?ib;ipf: иъиб;;;
inf pfv: a?as;inf pvf: аъас;;;
aor: dub a??ib;aor: дуб яъиб;v;eat;есть
hab: dub il?an;hab: дуб илъан;;;
inf pfv: dub a??as;inf pvf: дуб яъас;;;
aor: bergun;aor: бергун;v;eat (for animals);есть (о животном), сожрать
hab: bugan, dugan;hab: буган, дуган;;;
inf pfv: berges;inf pvf: бергес;;;
aor: wa?un;aor: вахун;v;feed;откармливать, выхаживать, присматривать за кем-то
hab: wal?an, bal?ul;hab: валхан, балхул;;;
inf pfv: wa?as;inf pvf: вахас;;;
aor: bem?ur, wem?ur;aor: бемжур, вемжур;v;get warm;сопреть, вспотеть
hab: um?an, dum?an;hab: умжан, думжан;;;
inf pfv: bem?es;inf pvf: бемжес;;;
aor: ba??un, da??un;aor: бяхIун, дяхIун;v;get wet;намокнуть
hab: bal??an, dal??an;hab: балхIван, далхIван;;;
inf pfv: ba???a?s;inf pvf: бяхIвяс;;;
aor: ba?lqun, da?lqun;aor: бялхъун, дялхъун;v;give good crop;давать хороший урожай
hab: lo?qan;hab: лоIхъан;;;
inf pfv: ba?lqa?s;inf pvf: бялхъяс;;;
aor: belt?un, delt?un;aor: белтIун, делтIун;v;gnaw;обгладывать кость вчистую
hab: lut?an;hab: лутIан;;;
inf pfv: belt?es;inf pvf: белтIес;;;
aor: buqun, duqun;aor: бухъун, духъун;v;go;всходить (о солнце), войти (о занозе), вырастать (о зубе), укусить (о собаке)
hab: bulqan, dulqan;hab: булхъан, дулхъан;;;
inf pfv: buqes;inf pvf: бухъес;;;
aor: der?ur, wer?ur;aor: дерхур, верхур;v;go down;залезть в яму, пойти
hab: ur?an, dur?an;hab: урхан, дурхан;;;
aor: ?e(?a)buqun;aor: че(хIа)бухъун;v;grow;расти
hab: ?ebulqan;hab: чебулхъан;;;
inf pfv: ?ebuqes;inf pvf: чебухъес;;;
aor: bikib, dikib;aor: бикиб, дикиб;v;happen;случиться
ipf: dirkib, birkib;ipf: диркиб, биркиб;;;
ipf: bukib, dukib;ipf: букиб, дукиб;v;itch;чесаться
aor: ba?un, da?un;aor: башун, дашун;v;knead;месить
hab: bal?an, dal?an;hab: балшан, далшан;;;
inf pfv: bas?es;inf pvf: башес;;;
aor: balc'un, dalc'un;aor: балцIун, далцIун;v;pick up;поднимать
hab: luc'an;hab: луцIан;;;
inf pfv: dalc'es;inf pvf: далцIес;;;
aor: bursib, dursib;aor: бурсиб, дурсиб;v;pound;толочь, мелко резать
hab: ussan;hab: уссан;;;
aor: batun, datun;aor: батун, датун;v;put on, put under;подсадить, подсунуть
hab: baltan, daltan;hab: балтан, далтан;;;
inf pfv: bates;inf pvf: батес;;;
aor: u?ib, du?ib;aor: уъиб, дуъиб;v;remяn;остаться, успокоиться, быть хорошим человеком
ipf: u?ib;ipf: уъиб;;;
inf pfv: u?es;inf pvf: уъес;;;
aor: balq?a?b, dalq?a?b;aor: балкъяб, далкъяб;v;rinse;выжимать
ipf: luq??ib;ipf: лукъIиб;;;
aor: bar?ib, dar?ib, ?abar?ib;aor: баръиб, даръиб, хIабаръиб;v;ripe;собирать поле
hab: bir?an, dir?an;hab: биръан, диръан;;;
inf pfv: bar?es;inf pvf: баръес;;;
aor: g?er(?a)baq'ib, g?er(?a)daq'ib;aor: гвер(хIа)бакъиб, гвер(хIа)дакъиб;v;rock;качать (о люльке)
inf pfv: g?erbaq'as;inf pvf: гвербакъас;;;
aor: warxib, barxib;aor: вархьиб, бархьиб;v;send;послать (о человеке, о письме)
hab: burxan, urxan;hab: бурхьан, урхьан;;;
aor: berbib;aor: бербиб;v;sew;шить
hab: iban;hab: ибан;;;
inf pfv: berbes, derbes;inf pvf: бербес, дербес;;;
aor: bergur;aor: бергур;v;spin (thread);наматывать нитку
hab: burgan, durgan;hab: бурган, дурган;;;
aor: bu?un;aor: буъун;v;spoil;портиться
hab: bul?an;hab: булъан;;;
inf pfv: bu?es, du?es;;;;
aor: bi?on, di?on;aor: бигIон, дигIон;v;steal;украсть
hab: dil?an, bil?an;hab: дилгIан, билгIан;;;
inf pfv: bi?e?s;inf pvf: бигIеIс;;;
aor: ?i batur;aor: ши батур;v;sting;"жалить (об осе, пчеле; букв. снять жало)"
ipf: ?i baltib;ipf: ши балтиб;;;
inf pfv: ?i bates;inf pvf: ши батес;;;
aor: bel?un, del?un;aor: белъун, делъун;v;tell;рассказать (о сказке, о лжи)
ipf: lu?ib;ipf: белъес;;;
inf pfv: bel?es;inf pvf: луъиб;;;
aor: wal?un, dal?un;aor: валхIун, далхIун;v;wake up;проснуться, пробудиться
hab: ul?an, dul?an;hab: улхIан, дулхIан;;;
inf pfv: wal??es;inf pvf: валхIвес;;;
aor: berq?ub, derq?ub;aor: беркъуб, деркъуб;v;wear off;щипать шерсть, распороться, соскочить (о насекомом), стать дырявым
hab: iq??an;hab: икъван;;;
inf pfv: berq??es;inf pvf: беркъвес;;;
aor: bergun, dergun;aor: бергун, дергун;v;wrap;заматывать, пеленать (ребенка)
hab: burgan, durgan;hab: бурган, дурган;;;
inf pfv: berges;inf pvf: бергес;;;
aor: witib, bitib;aor: витиб, битиб;v;beat;бить
ipf: ittib;ipf: иттиб;;;
aor: uru? wa?qib;aor: урух вяхъиб;v;be afrяd;бояться
ipf: uru?k'ib;ipf: урухкIиб;;;
inf pfv: uru? wa?qas;inf pvf: урух вяхъас;;;
aor: asib;aor: асиб;v;take;взять
hab: isan;hab: исан;;;
aor: bu(?)ib, du(?)ib;aor: бу(ъ)иб, ду(ъ)иб;v;be;случиться
hab: bu(?)an;hab: буъан;;;
inf pfv: bu?es;inf pvf: бу(ъ)ес;;;
aor: berxun, derxun;aor: берхьун, дерхьун;v;cook;готовить
hab: burxan, durxan;hab: бурхан, дурхан;;;
inf pfv: berxes;inf pvf: берхьес;;;
aor: balcib, dalcib;aor: балциб, далциб;v;spin (thread);прясть, подобрать
hab: balcan;hab: балцан;;;
inf pfv: balces;inf pvf: балцес;;;
aor: ba?q?un, da?q?un;aor: бякъун, дякъун;v;go;идти
hab: ba?an, da?an;hab: башан, дашан;;;
inf pfv: do?q?es;inf pvf: дoIкъес;;;
aor: wa?q?un, da?q?un, ba?q?un;aor: вякъун, дякъун, бякъун;v;go;пойти, войти
ipf: ur?ib;ipf: урхиб;;;
inf pfv: uq?e?s, duq?e?s;inf pvf: укъеIс, дукъеIс;;;
aor: bek?ib, dek'ib;aor: бекIиб, декIиб,;v;choose;выбирать
hab: delk?an, luk'an;hab: делкIан, лукIан;;;
inf pfv: bek?es;inf pvf: бекIес;;;
aor: bir?ib, dir?ib;aor: биргIиб, диргIиб;v;swallow;глотать
ipf: i?ib;ipf: игIиб;;;
inf pfv: bir?es, dir?es;inf pvf: биргIес, диргIес;;;
aor: ib;aor: иб;v;say;сказать
ipf: buk?ib;ipf: букIиб;;;
inf pfv: es;inf pvf: ес;;;
ipf: u?aq'ib, du?aq'ib, du?a?aq'ib;ipf: ухIакъиб, духIакъиб, духIахIакъиб;v;talk;говорить
aor: gib;aor: гиб;v;give;давать
hab: lugan;hab: луган;;;
aor: ur?es wikib;aor: ургъес викиб;v;fight;бороться
hab: ur?an;hab: ургъан;;;
aor: derkun, berkun;aor: деркун, беркун;v;eat;есть
hab: ukan, dukan;hab: укан, дукан;;;
inf pfv: berk?es, derk?es;inf pvf: берквес, дерквес;;;
aor: qumartur, qum?artur;aor: хъумартур, хъумхIартур;v;forget;забывать
hab: qumurtan;hab: хъумуртан;;;
aor: anni baq'ib;aor: анни бакъиб;v;finish;перестать
aor: q'a?b?ib, ?aq'a?b?ib;aor: къябъиб, хIакъябъиб;v;close;закрыть
hab: q'i?b?an;hab: къиIбгIан;;;
inf pfv: q'a?b?es;inf pvf: къябгIес;;;
aor: bic?ib;aor: бицIиб;v;fill;заполнить
ipf: bilc?uwe;ipf: билцIуве;;;
inf pfv: bic?es;inf pvf: бицIес;;;
aor: barcur, darcur;aor: барцур, дарцур;v;stuck;застрять
ipf: burcib, durcib;ipf: бурциб, дурциб;;;
inf pfv: barces, darces;inf pvf: барцес, дарцес;;;
aor: bahur, dahur;aor: багьур, дагьур;v;know;знать
hab: balhas, dalhan, balhan, balhul;hab: балгьас, далгьан, балгьан, балгьул;;;
inf pfv: bahas;inf pvf: багьас;;;
aor: ihub;aor: игьуб;v;throw;кидать, стелить
ipf: irh?ib;ipf: иргьвиб;;;
inf pfv: ih?es;inf pvf: игьвес;;;
aor: rur?ar buq?un;aor: руржар букъун;v;shiver;кипеть, дрожать
ipf: rur?ib;ipf: руржиб;;;
aor: bi?qi?b, di?qi?b;aor: бишхъиIб, дишхъиIб;v;mow;косить (сено), свежевать (барана), содрать (кожу себе), сорвать (косынку)
ipf: i?qi?b;ipf: ишхъиIб;;;
inf pfv: bi?qe?s, di?qe?s;inf pvf: бишхъеIс, дишхъеIс;;;
aor: hilixib, hildixib;aor: гьилихьиб, гьилдихьиб;v;lie;лежать
ipf: hilixile lewre;ipf: гьилихьиле левре;;;
inf pfv: hilixes;inf pvf: гьилихьес;;;
aor: bi?ib, di?ib;aor: бижиб, дижиб;v;lick;лизать
hab: i?an;hab: ижан;;;
inf pfv: bi?es;inf pvf: бижес;;;
aor: al??un;aor: алчIун;v;balden;линять
hab: ul??an;hab: улчIан;;;
inf pfv: al??es;inf pvf: алчIес;;;
aor: war?ib;aor: варгIиб;v;freeze;замёрзнуть, простыть
hab: wir?an, dir?an,;hab: виргIан, диргIан;;;
inf pfv: dar?as, war?as;inf pvf: даргIас, варгIас;;;
aor: ?ajk'ib, ?ajk'?ajk'ib;aor: ъайкIиб, ъайкихIайкIиб;v;sweep;мести
hab: ?ajk'an, ?aj?ajk'an;hab: ъайкIан, ъайхIайкIан;;;
inf pfv: ?ajk'es;inf pvf: ъайкIес;;;
aor: ik?ub;aor: икIуб;v;put on;надевать (об одежде)
hab: irk??an;hab: иркIван;;;
inf pfv: ik??es;inf pvf: икIвес;;;
aor: bargib, dargib, ?adargib;aor: баргиб, даргиб, хIадаргиб;v;find;найти
hab: burgan, durgan;hab: бурган, дурган;;;
inf pfv: barges;inf pvf: баргес;;;
aor: wa(?)ib, da(?)ib;aor: ва(ъ)иб, да(ъ)иб;v;begin;начинать, доехать
hab: wi(?)an, di(?)an;hab: ви(ъ)ан, ди(ъ)ан;;;
inf pfv: ba?as, wa?es;inf pvf: ба(ъ)ас, ва(ъ)ес;;;
aor: kal?un;aor: калъун;v;remяn;остаться (дома), забыть (что-то где-то)
hab: kul?an;hab: кулъан;;;
inf pfv: kal?es;inf pvf: калгIес;;;
aor: abxib;aor: абхьиб;v;open;открыть
hab: ibxan;hab: ибхьан;;;
inf pfv: abxes;inf pvf: абхьес;;;
aor: bercib, dercib;aor: берциб, дерциб;v;tear;рваться, разводиться
hab: ucan;hab: уцан;;;
aor: belk?un, delk?un;aor: белкIун, делкIун;v;write;написать, лепить (пельмени), долбить
hab: luk?an;hab: лукIан;;;
inf pfv: belk?es;inf pvf: белкIес;;;
aor: wissib, dissib, wisses wa?ib;aor: виссиб, диссиб, виссес ваъиб;v;weep;плакать
hab: wissan, dissan;hab: виссан, диссан;;;
aor: delq?un, belq?un;aor: делкъун, белкъун;v;turn;поворачиваться, крутиться, молоть (зерно), кружиться (о голове)
ipf: luq?ib;ipf: лукъиб;;;
aor: irc?ib;aor: ирцIиб;v;weed (crop field);пропалывать
ipf: irc?ib;ipf: ирцIиб;;;
inf pfv: irc?es;inf pvf: ирцIес;;;
aor: dihun, bihun;aor: дигьун, бигьун;v;tie;привязывать
hab: bilhan, dilhan;hab: билгьан, дтлгьан;;;
aor: bak?ib, dak?ib;aor: бакIиб, дакIиб;v;come;приходить, воткнуть (кинжал)
hab: dik?an, wik?an;hab: дикIан, викIан;;;
inf pfv: wak'as;inf pvf: вакIас;;;
aor: arur;aor: арур;v;sift;сеять (муку, песок)
hab: uran;hab: уран;;;
inf pfv: ares;inf pvf: арес;;;
aor: dem?ur;aor: демхур;v;swell;пухнуть
hab: bum?an, dum?an;hab: бумхан, думхан;;;
aor: watur, datur;aor: ватур, датур;v;take off (clothes);раздеваться
hab: baltan, daltan;hab: балтан, далтан;;;
aor: al?un;aor: алгIун;v;cut;резать
hab: ul?an;hab: улгIан;;;
inf pfv: al?es;inf pvf: алъес;;;
aor: duhib;aor: дугьиб;v;scold;ругать
ipf: uhib, duhib;ipf: угьиб, дугьиб;;;
aor: kaj?ib, kadi?ib;aor: кайъиб, кадиъиб;v;sit;сидеть
hab: kar?an, kadir?an;hab: каръан, кадиръан;;;
inf pfv: kajes;inf pvf: кайэс;;;
aor: bu?un, du?un;aor: бушун, душун;v;die (of fire);сгореть
hab: dul?an, bul?an;hab: дулшан, булшан;;;
inf pfv: bu?es;inf pvf: бушес;;;
aor: be?ub;aor: бегIуб;v;seed;засеивать
hab: bel??an, del??an;hab: белгIван, делгIван;;;
inf pfv: be??es, de??es;inf pvf: бегивес, дегивес;;;
aor: du?irk'es da(?)ib;aor: дучиркIес да(ъ)иб;v;laugh;смеяться
hab: du?irk'an, du?i?ark'an,;hab: дучиркIан, дучихIаркIан;;;
aor: gub;aor: губ;v;see;видеть
hab: irg?an;hab: иргван;;;
inf pfv: g?es;inf pvf: гвес;;;
aor: ba(?)ib, da(?)ib;aor: ба(ъ)иб, да(ъ)иб;v;ripen;созреть, раздулась (о реке)
hab: di(?)an, bi(?)an;hab: ди(ъ)ан, би(ъ)ан;;;
inf pfv: ba(?)as;inf pvf: ба(ъ)ас;;;
aor: berqib;aor: берхъиб;v;suck;сосать
hab: buqan, duqan;hab: бухъан, духъан;;;
inf pfv: berqes;inf pvf: берхъес;;;
aor: bixib, dixible;aor: бихьиб, дихьибле;v;put, place;положить
ipf: birxib;ipf: бирхьиб;;;
inf pfv: bixes, dixes;inf pvf: бихьес, дихьес;;;
aor: der?ur, ber?ur;aor: дерчур, берчур;v;cut hяr;стричь (о волосах)
ipf: bur?uwe;ipf: бурчуве;;;
inf pfv: ber?es, der?es;inf pvf: берчес, дерчес;;;
aor: burc?ib, durc?ib;aor: бурцIиб, дурцIиб;v;shear;стричь (о шерсти)
ipf: uc?ib;ipf: уцIиб;;;
inf pfv: burc?es;inf pvf: бурцIес;;;
aor: (dur)aq?ur;aor: (дур)акъур;v;pour;сыпать
hab: (dur)ulq?an;hab: (дур)улкъан;;;
inf pfv: aq'as;inf pvf: акъас;;;
aor: dac?ib, bac?ib;aor: дацIиб, бацIиб;v;thaw, melt;плавиться
ipf: dic?uwe;ipf: дицIуве;;;
inf pfv: dac'es;inf pvf: дацIес;;;
aor: war?ib, dar?ib;aor: вархиб, дархиб;v;touch;прикасаться
hab: bir?an, wir?an, dir?an;hab: бирхан, вирхан, дирхан;;;
inf pfv: war?es;inf pvf: вархес;;;
aor: bit'ak'ib;aor: битIакIиб;v;pull;тянуть
hab: bit'irk'an, dit'irk'an, bit'?ark'an;hab: битIиркIан, дитIиркIан, битIхIаркIан;;;
aor: wa?b?ib, da?b?ib;aor: вябгIиб, дябгIиб;v;kill;убить
hab: wib?an, dib?an;hab: вибгIан, дибгIан;;;
inf pfv: wa?b?as;inf pvf: вябгIас;;;
aor: arikib, ardikib, arbikib;aor: арикиб, ардикиб, арбикиб;v;fall down;упасть
hab: arirkan, ardirkan;hab: ариркан, ардиркан;;;
aor: arba?q?un, ara?q?un;aor: арбякъун, арякъун;v;go away;уходить
aor: warzur, darzur;aor: варзур, дарзур;v;prяse;хвалить
hab: urzan, durzan;hab: урзан, дурзан;;;
aor: biges ba(?)ib;aor: бигес баъиб;v;want;хотеть
ipf: bigib, digib;ipf: бигиб, дигиб;;;
aor: wisq?ib;aor: вискъиб;v;look;смотреть
inf pfv: wisq?es;inf pvf: вискъес;;;
aor: berzib, derzib;aor: берзиб, дерзиб;v;milk;доить
ipf: izib;ipf: изиб;;;
inf pfv: berzes, derzes;inf pvf: берзес, дерзес;;;
aor: berc?ib;aor: берцIиб;v;fry;жарить, подтянуться
ipf: buc?ib;ipf: буцIиб;;;
inf pfv: berc?es, derc?es;inf pvf: берцIес, дерцIес;;;
aor: ask?ur;aor: аскIур;v;catch on;прицепиться
hab: usk?an;hab: ускIан;;;
inf pfv: ask'es;inf pvf: аскIес;;;
aor: irxib;aor: ирхьиб;v;fly;лететь
ipf: irxib;ipf: ирхьиб;;;
inf pfv: irxes;inf pvf: ирхьес;;;
aor: irxib;aor: arcur;v;fly;летать
ipf: irxib;ipf: urcib;;;
inf pfv: irxes;inf pvf: arces;;;
aor: el?un;aor: элъун;v;count;считать
hab: ul?an;hab: улъан;;;
inf pfv: el?es;inf pvf: элъес;;;
aor: art?ur;aor: артIур;v;pour liquid;наливать
ipf: urt?ib;ipf: уртIиб;;;
inf pfv: art?es;inf pvf: артIес;;;
aor: bucib, ducib;aor: буциб, дуциб;v;catch;ловить, нанимать
ipf: dulcib, bulcib;ipf: дулциб, булциб;;;
inf pfv: buces;inf pvf: буцес;;;
aor: bor?ob, dor?ob;aor: бoргIоб, дoргIоб;v;break;ломать
ipf: u?ib;ipf: угIиб;;;
inf pfv: bor?es, dor?es;inf pvf: бoргIес, дoргIес;;;
aor: bulqes abizes;aor: булхъес абизес;v;dance;танцевать
hab: bulqan, dulqan;hab: булхъан, дулхъан;;;
aor: burhul;aor: бургьул;v;be possible, be capable, be necessary;возможным быть, мочь, долженствовать
aor: dazib, bazib;aor: дазиб, базиб;v;wash (head, dishes);мыть
ipf: dizib;ipf: дизиб;;;
inf pfv: dazes, bazes;inf pvf: дазес, базес;;;
aor: ba?ldun, wa?ldun;aor: бялдун, вялдун;v;hide;прятать
hab: ba?ldan, da?ldan, bu?ldan, du?ldan;hab: бялдан, дялдан, буIлдан, дуIлдан;;;
inf pfv: ba?ldes;inf pvf: бялдес;;;
aor: derzib;aor: дерзиб;v;roast;жарить
ipf: duzib, buzib;ipf: дузиб, бузиб;;;
inf pfv: derzes, berzes;inf pvf: дерзес, берзес;;;
aor: delkun, belkun;aor: делкун, белкун;v;saw;спилить, распилить
ipf: lukib;ipf: лукиб;;;
inf pfv: belkes;inf pvf: белкес;;;
aor: ber?ib;aor: бержиб;v;drink;пить
ipf: bu?ib, du?ib;ipf: бужиб, дужиб;;;
inf pfv: ber?es;inf pvf: бержес;;;
aor: bicib;aor: бициб;v;sell;продавать
ipf: bilcib;ipf: билциб;;;
inf pfv: bices;inf pvf: бицес;;;
aor: arbu?aqib, ardu?aqib;aor: арбуъахъиб, ардуъахъиб;v;lose;терять
hab: arbul?aqan, ardul?aqan, ar?abulaqan;hab: арбулъахъан, ардулъахъан, архIабулахъан;;;
ipf: uzib;ipf: узиб;v;work;работать
;;;;
;;;;
aor: ar?ib;aor: аргъиб;v;hear;слышать
hab: ir?an;hab: иргъан;;;
inf pfv: ar?es;inf pvf: аргъес;;;
aor: dalc?un, balc?un;aor: далцIун, балцIун;v;collect (ears);подбирать (камушки, колосья), перебирать (гречку)
ipf: luc?ib;ipf: луцIиб;;;
inf pfv: balc?es;inf pvf: балцIес;;;
aor: dercib, bercib;aor: дерциб, берциб;v;wash (linen);стирать (белье, одежда)
ipf: ucib;ipf: уциб;;;
inf pfv: derces, berces;inf pvf: дерцес, берцес;;;
aor: webk?ib, debk?ib;aor: вебкIиб, дебкIиб;v;die;умереть
ipf: ubk?ib, dubk?ib;ipf: убкIиб, дубкIиб;;;
inf pfv: bebk?es, webk?es;inf pvf: бебкIес, вебкIес;;;
aor: bel??un;aor: белчIун;v;read;читать, учиться
ipf: lu??ib;ipf: лучIиб;;;
inf pfv: bel??es;inf pvf: белчIес;;;
aor: bar?ib, dar?ib;aor: баръиб, даръиб;v;gather;собрать
hab: bir?an, dir?an;hab: биръан, диръан;;;
inf pfv: bar?es;inf pvf: баръес;;;
aor: buhub, duhub;aor: бугьуб, дугьуб;v;become;стать
ipf: burhan;ipf: бургьан;;;
inf pfv: buhes;inf pvf: бугьес;;;
aor: dertib;aor: дертиб;v;harden;створожиться (молоко, творог)
hab: ut(t)an;hab: уттан;;;
inf pfv: bertes, dertes;inf pvf: бертес, дертес;;;
aor: bor?ib, dor?ib;aor: бoрхиб, дoрхиб;v;stab;играть (в бильярд), втыкать
hab: ir?an;hab: ирхан;;;
inf pfv: dor?es;inf pvf: дoрхес;;;
;;;;
;;;;
aor: ba?aqib, da?aqib;aor: баъахъиб, даъахъиб;v;hit;ударить
hab: bi?aqan, di?aqan;hab: биъахъан, диъахъан;;;
inf pfv: ba?aqas;inf pvf: баъахъас;;;
aor: kib;aor: киб;v;lead here;привести
ipf: dikib, wikib;ipf: дикиб, викиб;;;
aor: batur a?ib;aor: батур а(ъ)иб;v;let go;отпустить, отвязать
ipf: batur i?ib;ipf: батур и(ъ)иб;;;
inf pfv: batur a?as, watur a?as;inf pvf: батур а(ъ)ас, ватур а(ъ)ас;;;
inv ipf: ?ule bizes;inv ipf: хIуле бизес;v;look;смотреть
;;;;
aor: aqib;aor: ахъиб;v;rяse, climb;подняться, зайти (о солнце), повесить
hab: iqan;hab: ихъан;;;
inf pfv: aqas;inf pvf: ахъас;;;
aor: ba?ib, wa?ib;aor: баъиб, ваъиб;v;reach;достичь
